Дата,дивизион,доход,расход,валовая_прибыль,EBITDA,отток,приток,ARPU,"операционные_расходы,_тенге","операционная_прибыль,_тенге"
2023-02-01,Дивизион_по_корпоративному_бизнесу,11650.24827543998,3627.752340189999,8400.78732257998,8255.62284136998,287500,279364,6163.759352412826,3489.088634379999,8161.15964105998
2023-02-01,Дивизион_по_розничному_бизнесу,10592.90398561006,3331.55136877,7427.472784320063,7507.430722700068,287500,279364,6163.759352412826,3332.24024843,7260.663737180063
2023-02-01,Дивизион_информационных_технологий,979.3401167600005,1493.86475619,-428.1105079299996,10.45214987000031,287500,279364,6163.759352412826,1492.7697096,-513.4295928399996
2023-02-01,Дирекция_управления_проектами_(ДУП),0.0,55.69538247,-23.55246306,-55.43182147,287500,279364,6163.759352412826,55.69538247,-55.69538247
2023-02-01,Дирекция_телеком-комплектации,0.0,91.21417930000004,-67.48968429,-87.93618520999999,287500,279364,6163.759352412826,91.14909021,-91.14909021
2023-02-01,Корпоративный_университет,0.0,68.29789797,-62.44845418,-67.76105297,287500,279364,6163.759352412826,68.29789797,-68.29789797
2023-02-01,"Обьединение_""Дивизион_Сеть""",31.39778504,6750.938937549998,-6494.899561179998,-4590.469849079998,287500,279364,6163.759352412826,6691.367599229998,-6659.969814189999
2023-02-01,Сервисная_Фабрика,0.0,1191.29380624,-886.0508344699997,-957.6504076099998,287500,279364,6163.759352412826,1139.20854366,-1139.20854366
2023-02-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",0.0,2879.97611528,-377.61781998,-952.40432988,287500,279364,6163.759352412826,952.98026388,-952.98026388
2023-03-01,Дивизион_по_корпоративному_бизнесу,11698.23568165997,3250.24308918,8795.103800259973,8722.096340679997,37845,24313,7457.293635523148,3070.773299990001,8627.462381669973
2023-03-01,Дивизион_по_розничному_бизнесу,10876.96370175999,3301.770443579999,8002.458991659984,7842.444654139981,37845,24313,7457.293635523148,3300.083312159999,7576.880389599986
2023-03-01,Дивизион_информационных_технологий,1109.7660872,1523.24052439,-253.4337791300001,141.3737673399997,37845,24313,7457.293635523148,1522.90820086,-413.1421136600002
2023-03-01,Дирекция_управления_проектами_(ДУП),0.0,36.88988509,-30.28662114,-36.62626909000001,37845,24313,7457.293635523148,36.88988509000001,-36.88988509000001
2023-03-01,Дирекция_телеком-комплектации,0.0,102.20546393,-69.40160857,-99.14236182999998,37845,24313,7457.293635523148,102.1215896,-102.1215896
2023-03-01,Корпоративный_университет,0.0,74.80455614999998,-68.71404473,-74.24829815,37845,24313,7457.293635523148,74.80455615,-74.80455615
2023-03-01,"Обьединение_""Дивизион_Сеть""",28.19978608,7490.430118830002,-6823.798686270001,-5191.462865850001,37845,24313,7457.293635523148,7480.50994667,-7452.310160590001
2023-03-01,Сервисная_Фабрика,0.0,1607.79519965,-1297.42344572,-1399.025133039999,37845,24313,7457.293635523148,1600.39908603,-1600.39908603
2023-03-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",0.0,5061.722890409999,-376.6595471299999,-893.37779297,37845,24313,7457.293635523148,893.9537339699999,-893.9537339699999
2023-04-01,Дивизион_по_корпоративному_бизнесу,11870.83977410001,4459.039681,7799.915443870012,7679.486508450012,38428,24864,7968.678072255703,4181.25567069,7689.584103410012
2023-04-01,Дивизион_по_розничному_бизнесу,13291.76740452997,4272.26559687,9416.91381525997,9283.174038319972,38428,24864,7968.678072255703,4109.24115701,9182.52624751997
2023-04-01,Дивизион_информационных_технологий,1122.0139037,1708.41741429,-487.6491119799998,-33.24711869999969,38428,24864,7968.678072255703,1705.2718048,-583.2579010999998
2023-04-01,Дирекция_управления_проектами_(ДУП),0.0,69.87934525,-61.09282556999999,-69.60559425000001,38428,24864,7968.678072255703,69.87934524999999,-69.87934524999999
2023-04-01,Дирекция_телеком-комплектации,0.0,128.56703252,-90.79874893,-124.86577945,38428,24864,7968.678072255703,127.84447745,-127.84447745
2023-04-01,Корпоративный_университет,0.0,76.83340648,-68.52206661,-76.03965917999999,38428,24864,7968.678072255703,76.59591517999999,-76.59591517999999
2023-04-01,"Обьединение_""Дивизион_Сеть""",28.15762256,7925.08579177,-7582.02782402,-5575.90260994,38428,24864,7968.678072255703,7878.23209619,-7850.074473629999
2023-04-01,Сервисная_Фабрика,0.0,1973.6617182,-1675.28633271,-1740.02671573,38428,24864,7968.678072255703,1981.42209519,-1981.42209519
2023-04-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",310.6889999999999,4404.893797639999,-1668.34020183,-2213.58016668,38428,24864,7968.678072255703,2779.8215881,-2469.1325881
2023-05-01,Дивизион_по_корпоративному_бизнесу,11581.79118396993,3569.61017286,8350.587924219926,8250.942745339926,38835,30862,8262.27902328955,3425.63008647,8156.161097499927
2023-05-01,Дивизион_по_розничному_бизнесу,11119.44376128999,3809.836549540001,7662.574352569989,7587.79080276999,38835,30862,8262.27902328955,3806.517401670001,7312.926359619988
2023-05-01,Дивизион_информационных_технологий,1127.73939188,1573.40252561,-352.1287092200002,63.39435970999972,38835,30862,8262.27902328955,1573.19152297,-445.4521310900003
2023-05-01,Дирекция_управления_проектами_(ДУП),0.0,97.86348642,-80.31170044999999,-97.53457942,38835,30862,8262.27902328955,97.86348642,-97.86348642
2023-05-01,Дирекция_телеком-комплектации,0.0,124.76461445,-75.93985795,-119.19187897,38835,30862,8262.27902328955,122.17036598,-122.17036598
2023-05-01,Корпоративный_университет,0.0,75.49674317,-69.67788539,-73.86740077,38835,30862,8262.27902328955,74.42365877,-74.42365877
2023-05-01,"Обьединение_""Дивизион_Сеть""",26.85055344,7025.160142920001,-6846.76924267,-4926.611176160001,38835,30862,8262.27902328955,7006.535240950001,-6979.684687510001
2023-05-01,Сервисная_Фабрика,0.0,1553.953658480001,-1284.88163466,-1319.03011552,38835,30862,8262.27902328955,1547.18321624,-1547.18321624
2023-05-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",0.0,1777.71704553,-378.01679108,-896.6222189800002,38835,30862,8262.27902328955,897.19815998,-897.19815998
2023-06-01,Дивизион_по_корпоративному_бизнесу,11558.75878822008,3637.56861656,8212.554267620084,8167.854304460083,20435,15036,7953.79694313833,3485.83648449,8072.922303730084
2023-06-01,Дивизион_по_розничному_бизнесу,12675.25411764998,3757.912360559999,9107.381641209984,9192.582592839974,20435,15036,7953.79694313833,3756.54026757,8918.713850079985
2023-06-01,Дивизион_информационных_технологий,1143.008221459998,1669.46609813,-366.2625063200023,9.379922859997578,20435,15036,7953.79694313833,1669.1488176,-526.1405961400023
2023-06-01,Дирекция_управления_проектами_(ДУП),0.0,84.14770223999999,-74.91066251999999,-83.81474823999999,20435,15036,7953.79694313833,84.14770223999999,-84.14770223999999
2023-06-01,Дирекция_телеком-комплектации,0.0,86.07407466000002,-81.33180785000002,-83.04446211000003,20435,15036,7953.79694313833,86.00749313000001,-86.00749313000001
2023-06-01,Корпоративный_университет,0.0,93.62740443,-86.85715307000001,-92.75772306,20435,15036,7953.79694313833,93.31398006,-93.31398006
2023-06-01,"Обьединение_""Дивизион_Сеть""",28.3473584,8036.183290179996,-7248.523813729997,-5951.401610559996,20435,15036,7953.79694313833,8010.650625929997,-7982.303267529996
2023-06-01,Сервисная_Фабрика,0.0,1948.06268795,-1442.29595993,-1576.29228771,20435,15036,7953.79694313833,1796.76450113,-1796.76450113
2023-06-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",0.0,3006.53188159,-381.91696691,-725.24999387,20435,15036,7953.79694313833,725.82592787,-725.82592787
2023-07-01,Дивизион_по_корпоративному_бизнесу,11728.8435269799,6033.272941020001,7731.187627449897,5951.468479559901,29756,16691,8223.046331127016,4196.30830764,7532.535219339898
2023-07-01,Дивизион_по_розничному_бизнесу,11738.88981186001,4735.763181459999,7717.10670265001,7280.66852442001,29756,16691,8223.046331127016,4446.71111141,7292.178700450011
2023-07-01,Дивизион_информационных_технологий,1113.905238850001,2104.958773769999,-887.2989092799987,-440.9873775699987,29756,16691,8223.046331127016,2103.535648709999,-989.6304098599988
2023-07-01,Дирекция_управления_проектами_(ДУП),0.0,81.64057736,-68.83906196000001,-81.36713236000001,29756,16691,8223.046331127016,79.58168704,-79.58168704
2023-07-01,Дирекция_телеком-комплектации,0.0,118.97393284,-81.69721136999999,-117.38125192,29756,16691,8223.046331127016,120.30793792,-120.30793792
2023-07-01,Корпоративный_университет,0.0,92.26862987,-85.08585158000001,-91.06802958,29756,16691,8223.046331127016,92.07047558,-92.07047558
2023-07-01,"Обьединение_""Дивизион_Сеть""",26.977044,8066.990324139999,-7735.428899799998,-5980.025480739999,29756,16691,8223.046331127016,7998.55548321,-7971.578439209998
2023-07-01,Сервисная_Фабрика,0.0,1904.631673169999,-1464.92972624,-1598.14646217,29756,16691,8223.046331127016,1838.49258757,-1838.49258757
2023-07-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",315.331,3263.14212258,-588.03657782,-1347.82856138,29756,16691,8223.046331127016,1819.78585156,-1504.45485156
2023-08-01,Дивизион_по_корпоративному_бизнесу,11547.59345390996,4097.92396778,7886.65659484996,7697.133662049987,29437,15009,8070.674127924527,3946.58415993,7601.009293979961
2023-08-01,Дивизион_по_розничному_бизнесу,12218.49178858008,4128.92046698,8536.557547480075,8371.480109370086,29437,15009,8070.674127924527,4126.91861844,8091.573170140075
2023-08-01,Дивизион_информационных_технологий,1183.693826,1831.48088711,-524.6248793900002,-99.71368322000012,29437,15009,8070.674127924527,1831.36117796,-647.6673519600001
2023-08-01,Дирекция_управления_проектами_(ДУП),0.0,105.43417557,-90.74452160999998,-105.18207771,29437,15009,8070.674127924527,105.43417557,-105.43417557
2023-08-01,Дирекция_телеком-комплектации,0.0,162.63001986,-124.68224682,-159.70318399,29437,15009,8070.674127924527,162.63001986,-162.63001986
2023-08-01,Корпоративный_университет,0.0,117.17565704,-106.95437516,-115.93443104,29437,15009,8070.674127924527,117.17565704,-117.17565704
2023-08-01,"Обьединение_""Дивизион_Сеть""",27.06137104,8143.851860040001,-7826.419597380002,-5930.55199548,29437,15009,8070.674127924527,8088.730692230002,-8061.669321190001
2023-08-01,Сервисная_Фабрика,0.0,1682.03109756,-1296.93371714,-1402.40573867,29437,15009,8070.674127924527,1632.59573604,-1632.59573604
2023-08-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",0.0,3279.98258108,-395.8258135,-981.93789666,29437,15009,8070.674127924527,982.50012466,-982.50012466
2023-09-01,Дивизион_по_корпоративному_бизнесу,11696.44497653991,3819.14576941,8391.18585489991,8217.693768679906,173365,122270,7736.249544114442,3575.53184291,8120.91313362991
2023-09-01,Дивизион_по_розничному_бизнесу,12046.51704536998,4544.08787913,7951.697929819982,7789.837891269983,173365,122270,7736.249544114442,4543.054735889999,7503.462309479982
2023-09-01,Дивизион_информационных_технологий,1152.250913430001,1783.98168953,-485.9465833899994,-66.86720286999935,173365,122270,7736.249544114442,1783.94723105,-631.6963176199994
2023-09-01,Дирекция_управления_проектами_(ДУП),0.0,85.98876262,-68.14801546999999,-85.74087261999999,173365,122270,7736.249544114442,85.98876261999999,-85.98876261999999
2023-09-01,Дирекция_телеком-комплектации,0.0,142.25253365,-109.72924937,-139.30152165,173365,122270,7736.249544114442,142.25253365,-142.25253365
2023-09-01,Корпоративный_университет,0.0,89.94259032,-81.79682062,-88.46948696999999,173365,122270,7736.249544114442,89.73518097,-89.73518097
